id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
1495,Zhanning Liu,"Liu, Zhanning",0,,1,2015,0,,0,
1496,Ziyu Liu,"Liu, Ziyu",1,2018,0,,0,,0,
1497,Chengang Long,"Long, Chengang",0,,1,2013,0,,0,
1498,Mingzhi Long,"Long, Mingzhi",0,,1,2014,0,,0,
1499,Shuai Long,"Long, Shuai",1,2016,0,,0,,0,
1500,Muye Lu,"Lu, Muye",1,2021,0,,0,,0,
1501,Yifan Lu,"Lu, Yifan",1,2014,0,,0,,0,
1502,Bozhi Luan,"Luan, Bozhi",0,,1,2015,0,,0,
1503,Haoren Luo,"Luo, Haoren",1,2019,0,,0,,0,
1504,Xuanyu Luo,"Luo, Xuanyu",0,,1,2023,0,,0,
1505,Yaxin Luo,"Luo, Yaxin",0,,1,2014,0,,0,
1506,Yinan Luo,"Luo, Yinan",1,2023,0,,0,,0,
1507,Yiheng Lyu,"Lyu, Yiheng",0,,1,2016,0,,0,
1508,Ruichen Ma,"Ma, Ruichen",0,,1,2015,0,,0,
1509,Xiuyuan Ma,"Ma, Xiuyuan",1,2016,0,,0,,0,
1510,Maolin Mao,"Mao, Maolin",0,,1,2016,0,,0,
1511,Yibo Mao,"Mao, Yibo",0,,1,2015,0,,0,
1512,Qingpeng Meng,"Meng, Qingpeng",1,2016,0,,0,,0,
1513,Weiqi Meng,"Meng, Weiqi",1,2013,0,,0,,0,
1514,Zhichen Nan,"Nan, Zhichen",0,,1,2013,0,,0,
1515,Haoyang Ning,"Ning, Haoyang",0,,1,2015,0,,0,
1516,Wentao Niu,"Niu, Wentao",1,2022,0,,0,,0,
1517,Xu Niu,"Niu, Xu",1,2018,0,,0,,0,
1518,Xuanguang Pan,"Pan, Xuanguang",1,2016,0,,0,,0,
1519,Yuting Pang,"Pang, Yuting",1,2015,0,,0,,0,
1520,Bo Peng,"Peng, Bo",0,,1,2014,0,,0,
1521,Deyang Peng,"Peng, Deyang",1,2015,0,,0,,0,
1522,Yusen Peng,"Peng, Yusen",0,,1,2022,0,,0,
1523,Jingdi Qi,"Qi, Jingdi",0,,1,2022,0,,0,
1524,Xinyao Qin,"Qin, Xinyao",0,,1,2013,0,,0,
1525,Maojun Qiu,"Qiu, Maojun",1,2014,0,,0,,0,
1526,Jiaqi Qu,"Qu, Jiaqi",1,2014,0,,0,,0,
1527,Zhe Rao,"Rao, Zhe",1,2014,0,,0,,0,
1528,Xingyu Ren,"Ren, Xingyu",0,,1,2015,0,,0,
1529,Yifan Ren,"Ren, Yifan",1,2023,0,,0,,0,
1530,Haonan Shi,"Shi, Haonan",0,,1,2015,0,,0,
1531,Kairui Shi,"Shi, Kairui",0,,1,2016,0,,0,
1532,Qi Shi,"Shi, Qi",1,2018,0,,0,,0,
1533,Yijie Shi,"Shi, Yijie",0,,1,2014,0,,0,
1534,Zihao Shi,"Shi, Zihao",1,2013,0,,0,,0,
1535,Xianda Song,"Song, Xianda",0,,1,2015,0,,0,
1536,Fubo Sun,"Sun, Fubo",1,2015,0,,0,,0,
1537,Jiadong Sun,"Sun, Jiadong",1,2023,0,,0,,0,
1538,Yongheng Sun,"Sun, Yongheng",0,,1,2022,0,,0,
1539,Zebin Sun,"Sun, Zebin",0,,1,2015,0,,0,
1540,Zequn Sun,"Sun, Zequn",1,2013,0,,0,,0,
1541,Zhaoyan Sun,"Sun, Zhaoyan",0,,1,2014,0,,0,
1542,Shaoxuan Tan,"Tan, Shaoxuan",0,,1,2013,0,,0,
